Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,YSF Digital Enabled,DG-ID,WIRES-X,County,Grid,Op Status,Coverage,Sponsor,Features,Mixed-Mode,Last update,EchoLink,IRLP,AllStar,Nets,Web links,Coordination,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Denver Regional,Affiliate,Notes,Downlink Tone,Commands,Links,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,On-air,Northern Colorado,Worldwide,North America,Local/Cluster,Feed,Southern Colorado,Talkgroup Network,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,English,Wyoming,WyLOCAL
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,114.3,WNW,,449.45,444.45,103.5,,,,Clear Creek,,On-Air,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mountain Radio League,11,,,,,,RMRL: Mon at 20:30.,Repeater,CCARC,,,,,,,,,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,114.3,WNW,,145.145,144.545,107.2,,,,Clear Creek,,On-Air,Wide area. Denver metro.,Colorado Repeater Assoc,E-power.,,,,,,,http://www.w0cra.org/info/squaw.html#145145,CCARC,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,114.3,WNW,,446.9375,441.9375,,,,,Clear Creek,,On-Air,,Rocky Mountain Ham Radio,,,,,,,,Rocky Mountain Ham Radio,CCARC,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,See the website for programming information.,,,Full-time to the  Colorado TRBO System .,,,,,,,,2,,,,,2,RMHAM,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,114.3,WNW,,448.225,443.225,141.3,,,,Clear Creek,,On-Air,,Rocky Mountain Ham Radio,E-power(gen).,,,,,,,,CCARC,,,,,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,114.3,WNW,,447.575,442.575,107.2,,,,Clear Creek,,On-Air,Wide area: Denver metro.,Colorado Repeater Association (CRA),,,,347088,3291,,,http://www.w0cra.org,CCARC,,,,,,,,,107.2,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,114.3,WNW,,145.49,144.89,100,,,,Jefferson,,On-Air,,"KB0VIU,  Denver Radio Club",E-power.,,,,,,DRC: Sun at 20:30.,DRC Repeaters,CCARC,,,,,,,,,100,,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,116.5,WNW,,145.31,144.71,88.5,,,,Gilpin,,On-Air,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,10,,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,CCARC,,,,,,,,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",123,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,116.5,WNW,,449.225,444.225,141.3,,,,Gilpin,,On-Air,Wide area.,Rocky Mountain Ham Radio (RMHR),Emergency Power,,,,,,,,CCARC,,,,,,,,"Emcomm Affiliated, Open repeater",141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,116.8,WNW,,449.05,444.05,107.2,,,,Denver,,On-Air,Wide area.,WG0N,E-power.,,,,,,,,CCARC,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.955,-0.6,,N0JUN,Holyoke,CO,OPEN,,117.7,NNE,,146.955,146.355,,,,,Phillips,,,,PCARC,E-power.,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,119.3,WNW,,446.9875,441.9875,,,,,Boulder,,On-Air,,Rocky Mountain Ham Radio,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,,,,,,,,,,7,,,,,,,,,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,119.3,WNW,,445.05,440.05,,,,,Boulder,,On-Air,Wide area,Rocky Mountain Ham Radio,BrandMeister Network,,,,,,,,CCARC,,1,BrandMeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrandMeister US,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,119.3,WNW,,224.02,222.42,,,,,Boulder,,On-Air,Denver metro area.,Rocky Mtn VHF Soc,8,,,217336,,,,RMVHS repeaters,CCARC,,,,,,,,,,,"Full-time to  
        449.55000 (W0IA) at Boulder, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,119.3,WNW,,447.975,442.975,107.2,,,,Boulder,,On-Air,Wide area: Boulder/Longmont area.,Colorado Repeater Association (CRA),Closed autopatch.,,,,,,,,CCARC,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,119.3,WNW,,145.46,144.86,107.2,,,,Boulder,,On-Air,Boulder/Denver Metro,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",,,347086,3990,,,,CCARC,,,,,,,CRA VHF Link System,,107.2,Member-only IRLP and Echolink node,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,119.3,WNW,,447.75,442.75,141.3,,,,Boulder,,On-Air,,Rocky Mountain Ham Radio,,,,,3450,,,,CCARC,,,,,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,119.6,SW,,447.175,442.175,88.5,,,,Pueblo,,Off-Air,Wide area: Southeast Colorado.,Pueblo HC,11,,,,,,,Pueblo Ham Club,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,119.6,SW,,224.32,222.72,88.5,,,,Custer,,Off-Air,,Pueblo Ham Club,11,,,,,,,PHC repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,119.6,SW,,449.625,444.625,107.2,,,,Custer,,On-Air,,,E-power.,,,,,,,CMRG Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,120.9,WNW,,224.6,223,100,,,,Gilpin,,,,W0RM,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,121.1,NW,,448.025,443.025,100,,Open ↑ / Open ↓,,Larimer,,On-Air,,Northern Colorado ARC,,Yes; analog capable.,,,,,,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,121.5,WNW,,146.91,147.51,123,,,,Boulder,,On-Air,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,,,,,,,"Summer Tue at 19:30P, Winter 19:00.",http://goldhilltown.com/,,,,,,,,"Town of Gold Hill, Colorado",There is a MOU With BCARES for repeater use.,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,121.9,NW,,449.575,444.575,100,,,,Larimer,,On-Air,,Loveland Rptr Assoc,"Closed autopatch, e-power.",,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,100,KN6VV,Loveland,CO,OPEN,,121.9,NW,,224.32,222.72,100,,,,Larimer,,Off-Air,,KN6VV,"Closed autopatch, e-power.",,,,,,,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,,KA0TAO,Syracuse,KS,OPEN,,122.4,SE,,146.775,146.175,,,,,Hamilton,,On-Air,Local. 20 mi radius.,KA0TAO,,,,,,,,,Kansas Repeater Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,123.8,NW,,147.195,147.795,100,,,,Larimer,,On-Air,,Loveland Repeater Assoc,"Closed autopatch, e-power.",,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,124.8,NW,,147.39,147.99,,,,,Larimer,,On-Air,"Fort Collins east side, into Red Feather Lakes area.",KT0L - NoCo C-Bridge Network,,,,,,,Tac 310 Net: Sun at 18:00.,Documentation,CCARC,,2,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  TAC 310  1  310      DCI Bridge  1  3100      N. Colorado  1  3171      Mountain Reg USA  1  3177      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,1,1,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,125.6,NW,,447.2,442.2,82.5,,,,Weld,,On-Air,,N6RFI,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,KZ0DEM,"Pritchett,  Tator Butte",CO,OPEN,,126.4,SSE,,146.64,146.04,100,,,,Las Animas,,Off-Air,Wide area: West BACA and East Las Animas counties.,,,,,,,,,KZ0DEM Repeaters,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,126.9,NW,,446.775,441.775,,,,,Larimer,,On-Air,"Fort Collins east side, into Red Feather Lakes area.",W0DMR - NoCo C-bridge Network,,,,,,,,W0DMR,CCARC,,2,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,Brandmeister Network,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,1,2,,,BrandMeister US,,,,,,,,,1,2,,1,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,127,NW,,447.725,442.725,131.8,,,,Larimer,,On-Air,,W7RF,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,128,WSW,,919.1,894.1,88.5,,,,Pueblo,,Off-Air,Wide area.,Pueblo HC,,,,,,,,,CCARC,,,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.75,5,162.2,NV8Q,"Colby, K-Link",KS,OPEN,,128,ESE,,444.75,449.75,162.2,,,,Thomas,,,"Wide area. 
 Click for coverage map.  50 mi radius.",,"Linked to K-Link Repeater Network 
E-power (batt) 
Allstar 46010",,,,,,,K-Link Repeater Network,Kansas Repeater Council,,,,,,,K-Link Repeater Network,"Repeater is intermittently off-air, and the Allstar node is down.",162.2,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,128,WSW,,147.06,147.66,77,,,,Custer,,On-Air,,http://www.qsl.net/rghc,E-power,,,,,,,,CCARC,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,128,WSW,,448.325,443.325,100,,,,Custer,,On-Air,,,,,,,,,,,,,,,,,,The Fun Machine,,100,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,128,WSW,,927.775,902.775,D116,,,,Custer,,On-Air,,Royal Gorge Amateur Radio Club,,,,,,,,,CCARC,,,,,,,,System uses digital PL,D116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,128,WSW,,448.15,443.15,103.5,,,,Custer,,On-Air,,Royal George ARC,E-power.,,,,,,,http://www.qsl.net/rghc,CCARC,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,118.8,KZ0DEM,Springfield,CO,OPEN,EI,128.1,SSE,,449.2,444.2,118.8,,,,Baca,,On-Air,provides coverage to central Baca County,Baca County Div of Emerg Mgt Communications,,,,97142,7142,,,,,,,,,,,,,118.8,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.09,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,,128.1,SSE,,147.09,147.69,118.8,,,,Baca,,,,BCDEARC,,,,,,,,,CCARC,,,,,,,,,118.8,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,EI,128.1,SSE,,147.33,147.93,118.8,,,,Baca,,Off-Air,,Baca County Amateur Emergency Management,,,,97142,7142,,,KZ0DEM Repeaters,CCARC,,,,,,,,,118.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,128.2,NW,,147.03,147.63,100,,,,Boulder,,On-Air,,KI0HG,,,,,,,,,CCARC,,,,,,,Boulder County Amateur Radio Emergency Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,128.8,W,,446.7625,441.7625,,,,,Park,,On-Air,,K7PFJ,,,,,,,,,,,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,156.7,NW0K,Colby,KS,OPEN,I,129.4,ESE,,146.82,146.22,156.7,,,,Thomas,,On-Air,Local,TARC,"Closed autopatch, e-power.",,,,7552,,,,Kansas Repeater Council,,,,,,,,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,130.4,NW,,447.45,442.45,123,,,,Larimer,,On-Air,,,,,,447450,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC2,N0AOL,Fort Collins,CO,OPEN,,130.4,NW,,446.7375,441.7375,,,,,Larimer,,On-Air,Wide area: North Front Range.,N0AOL - NoCo C-Bridge Network,DMR-MARC World Wide Network,,,,,,"DMR World Wide Net: Sat at 10:00. 
TS 1 Group Call 1 http://www.dmr-marc.net/ 
Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,CCARC,,2,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      English  1  13      TAC 310  1  310      Local/Cluster  2  2      N. Colorado  2  3171    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,Repeater ID: 310803,,,,,,,,,,,,1,1,2,,,,,,,,,,,1,,2,,,1,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,130.4,NW,,1283.55,1263.55,100,,,,Larimer,,On-Air,Northern Colorado Front Range,K1TJ Repeater System,,,,,,,,http://www.k1tj.com/,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,130.7,NW,,147.36,147.96,100,,,,Larimer,,On-Air,Map,CO State Univ ARC,Closed autopatch.,,,,,,,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,141.3,K0ECT,Colby,KS,OPEN,,131,ESE,,444.4,449.4,141.3,,,,Thomas,,On-Air,,,,,,,,,,http://skect.org/default.aspx,Kansas Repeater Council,,,,,,,,"Repeater has zero hang-time, which gives the appearance that it's down.  It does work!",,,Full-time to the  SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,131.6,NW,,446.8125,441.8125,,,,,Larimer,,On-Air,Fort Collins Local Area,W0QEY CSU,D-Star Gateway,,,,,,,,CCARC,,,,,,,,Free Star,,,,,,,,W0QEY (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,131.7,NW,,449.85,444.85,100,,,,Larimer,,On-Air,Map,CO State Univ ARC,Closed autopatch.,,,,,,,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC2,KB0VGD,"Fort Collins , Horsetooth Mountain",CO,OPEN,,132.7,NW,,145.265,144.665,,,,,Larimer,,On-Air,Northern Colorado Front Range Wide Area coverage.,W0DMR - NoCo C-bridge Network,,,,,,,,http://www.w0dmr.org/,CCARC,,2,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,Brandmeister Network,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,1,2,,,BrandMeister US,,,,,,,,,1,2,,1,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,132.7,NW,,446.75,441.75,,,,,Larimer,,On-Air,,Rocky Mountain Ham Radio,,,,,,,,http://www.rmham.org,CCARC,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,See website for complete info on color codes/time slot assignment.,,,Full-time to the  Colorado TRBO System .,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,132.8,WNW,,147.285,147.885,88.5,,,,Grand,,On-Air,,Colorado Connection,,,,,,,,,CCARC,,,,,,,,,123,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,133.4,W,,448.575,443.575,103.5,,,,Park,,Off-Air,Western Park County,,,,,,,,,,CCARC,,,,,,,,,103.5,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,133.4,NW,,224.52,222.92,100,,,,Larimer,,Off-Air,,Northern Colorado ARC,E-power.,,,,,,,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,K1TJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,133.4,NW,,927.95,902.95,100,,,,Larimer,,On-Air,Northern Front Range,K1TJ Repeater System,25,,,,,,,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.825,-25,100,AB0SF,"Fort Collins, Horsetooth Mountain",CO,OPEN,,133.4,NW,,927.825,902.825,100,,,,Larimer,,On-Air,"Decent coverage throughout northern Fort Collins, out east to beyond Windsor.",AB0SF,,,,,,,,,CCARC,,,,,,,,Converted 800 MHz beam antenna pointed directly down Horsetooth Road in Fort Collins.,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,133.4,NW,,447.275,442.275,100,,,,Larimer,,On-Air,Wide area.,Northern Colorado ARC,"Closed autopatch, e-power.",,,,,,,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,133.4,NW,,145.115,144.515,100,,,,Larimer,,On-Air,Wide area.,Northern Colorado ARC,7,,,4236,,,,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,135,NW,,146.685,146.085,123,,,,Larimer,,On-Air,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),Estes Valley ARC,E-power.,,,625757,7268,,ARES D-10: Thu at 19:00.,,CCARC,,,,,,,,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.","Full-time to  
        449.80000 (N0FH) at Estes Park, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,135.3,W,,147.39,147.99,88.5,,,,Summit,,On-Air,Wide area.,Colorado Connection,12,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",Breckenridge Repeater,CCARC,,,,,,,,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",123,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,135.6,NW,,448.325,443.325,110.9,,,,Larimer,,On-Air,,,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,136,W,,445.0875,440.0875,,,,,Fremont,,On-Air,,K2AD,,,,,,,,http://www.rmham.org/,,,7,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,136,WNW,,447.45,442.45,103.5,,,,Grand,,On-Air,,W0IG,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,94.8,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,138.4,NW,,449.425,444.425,94.8,,,,Larimer,,On-Air,,,,,,,,,,,,,,,,,,,,,,"Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25,D114,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,138.4,NW,,927.875,902.875,D114,,,,Larimer,,Off-Air,,WA6IMI,,,,,,,,,CCARC,,,,,,,,Down due to lightning strike. Scheduled to return end of June 2012.,,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
