Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Downlink Tone,Op Status,Affiliate,Links,Coverage,Nets,Web links,Notes,EchoLink,DMR Enabled,Color Code,Wide Network,Grid,IRLP,AllStar,Commands,Talkgroup Network,Talkgroups,Wyoming,WyLOCAL,YSF Digital Enabled,DG-ID,Mixed-Mode,Colorado,Southern Colorado,Denver Regional,Northern Colorado,D-STAR Enabled,Node,Sources,Worldwide,North America,English,Local/Cluster,Mountain Reg USA,Local Network,Feed,Worldwide English,DCI Bridge,N. Colorado,TAC 310,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,Location Photo
446.7375,-5,CC2,N0AOL,Fort Collins,CO,OPEN,,126,ESE,yes,446.7375,441.7375,,Larimer,,N0AOL - NoCo C-Bridge Network,DMR-MARC World Wide Network,CCARC,yes,,On-Air,,,Wide area: North Front Range.,"DMR World Wide Net: Sat at 10:00. 
TS 1 Group Call 1 http://www.dmr-marc.net/ 
Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,Repeater ID: 310803,,yes,2,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      English  1  13      TAC 310  1  310      Local/Cluster  2  2      N. Colorado  2  3171    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,1,1,1,2,,,,,,2,1,,,,,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,126,ESE,yes,447.45,442.45,123,Larimer,,,,CCARC,yes,,On-Air,,,,,,,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,126,ESE,yes,1283.55,1263.55,100,Larimer,,K1TJ Repeater System,,CCARC,yes,,On-Air,,,Northern Colorado Front Range,,http://www.k1tj.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,126.3,SE,yes,446.7875,441.7875,,Jefferson,,Denver Radio Club,,CCARC,yes,,On-Air,Brandmeister Network,,,,http://www.w0tx.org/,,,yes,1,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,126.3,SE,yes,927.8375,902.025,,Jefferson,,,,CCARC,yes,,On-Air,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,The offset is -25.8125,,,,,,,45770,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,126.5,SE,yes,1283.8625,1263.8625,,Boulder,,Boulder County ARES,E-power.,CCARC,yes,,On-Air,,,20,,,,,,,,,,,,,,,,,,,,,,,yes,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,126.5,SE,yes,145.3875,144.7875,,Boulder,,Boulder County ARES,E-power.,CCARC,yes,,On-Air,,,20,,http://bouldercountyares.org/technical/d-star,,,,,,,,,,,,,,,,,,,,,yes,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,127,SE,yes,146.985,146.385,100,Denver,,El Jebel RADOPS,E-power.,CCARC,yes,100,On-Air,,,,RADOPS: Sun at 19:00.,,,,,,,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,127,SE,yes,449.525,444.525,CSQ,Jefferson,,KE0SJ,E-power.,CCARC,yes,,On-Air,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,127,SE,yes,145.28,144.68,100,Jefferson,,,"Closed autopatch, e-power, linked.",CCARC,yes,,On-Air,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",Wide area.,Sun at 19:30. Everyone welcome.,Intermountain Repeater Group,"PL is usually off, allowing use by older transceivers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,127,SE,yes,448.625,443.625,100,Jefferson,,Denver Radio Club,E-power.,CCARC,yes,100,On-Air,,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",Denver metro area.,DRC: Sun at 20:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,127,SE,yes,146.64,146.04,100,Jefferson,,Denver Radio League,E-power.,CCARC,yes,,On-Air,,,"Wide area. 
   Repeater Coverage Map",,DRL Repeaters,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,127.6,ESE,yes,147.195,147.795,100,Larimer,,Loveland Repeater Assoc,"Closed autopatch, e-power.",CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,127.7,SE,yes,448.85,443.85,88.5,Jefferson,,Aurora Repeater Assoc,e-power.,CCARC,yes,88.5,On-Air,,,"Denver metro, central front range",ARA: Wed at 20:00.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,127.7,SE,yes,147.15,147.75,100,Jefferson,,Aurora Repeater Assoc (ARA),e-power,CCARC,yes,100,On-Air,,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .","Denver metro, central front range",ARA: Wed at 20:00.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,127.7,SE,yes,224,222.4,103.5,Jefferson,,Rocky Mountain Radio League,8,CCARC,yes,103.5,On-Air,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,127.8,SE,yes,449.75,444.75,103.5,Jefferson,,Rocky Mtn Radio League,8,CCARC,yes,103.5,On-Air,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,127.8,SE,yes,224.74,223.14,88.5,Jefferson,,Aurora Repeater Assoc,e-power,CCARC,yes,88.5,On-Air,,,,ARA: Wed at 2000.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,127.8,SE,yes,145.22,144.62,103.5,Jefferson,,Rocky Mtn Radio League,8,CCARC,yes,103.5,On-Air,,,Wide area.,,Repeater,Talk-Group of $FFFF.,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,128.9,ESE,yes,446.8125,441.8125,,Larimer,,W0QEY CSU,D-Star Gateway,CCARC,yes,,On-Air,,,Fort Collins Local Area,,,Free Star,,,,,,,,,,,,,,,,,,,,yes,W0QEY (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,KB7SWR,Cheyenne,WY,OPEN,,129.3,E,yes,448.15,443.15,100,Laramie,,KB7SWR,,WRCG,yes,,Off-Air,,"Full-time to  
        145.23500 (KB7SWR) at Cheyenne, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,129.4,ESE,yes,449.85,444.85,100,Larimer,,CO State Univ ARC,Closed autopatch.,CCARC,yes,100,On-Air,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,129.6,ESE,yes,447.725,442.725,131.8,Larimer,,W7RF,,CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,129.7,ESE,yes,147.36,147.96,100,Larimer,,CO State Univ ARC,Closed autopatch.,CCARC,yes,100,On-Air,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,129.9,SE,yes,146.76,146.16,100,Boulder,,Rocky Mtn VHF Soc,5,CCARC,yes,,On-Air,Boulder County ARES,,Wide area.,,,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,
224.32,-1.6,100,KN6VV,Loveland,CO,OPEN,,130.2,ESE,yes,224.32,222.72,100,Larimer,,KN6VV,"Closed autopatch, e-power.",CCARC,yes,100,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,130.2,ESE,yes,449.575,444.575,100,Larimer,,Loveland Rptr Assoc,"Closed autopatch, e-power.",CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,131,ESE,yes,147.27,147.87,100,Boulder,,Longmont ARC (LARC),"Closed autopatch, e-power, EchoLink.",CCARC,yes,100,On-Air,,"Linkable to  
        448.80000 (W0ENO) at Longmont, CO .",Wide area: Northern Colorado.,,http://w0eno.org/?q=node/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,131,ESE,yes,448.525,443.525,151.4,Boulder,,N0EPA,,CCARC,yes,,On-Air,,,,,,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,131,ESE,yes,448.8,443.8,88.5,Boulder,,Longmont ARC,30,CCARC,yes,88.5,On-Air,,"Linkable to  
        147.27000 (W0ENO) at Longmont, CO .",,LARC: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,132.7,SE,yes,145.34,144.74,103.5,Jefferson,,Rocky Mtn Radio League,E-power.,CCARC,yes,127.3,On-Air,,,Wide area.,,Repeater,,,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,132.7,SE,yes,145.175,144.575,D073,Clear Creek,,Rocky Mountain Ham Radio,,CCARC,yes,D073,Off-Air,,,,,Rocky Mountain Ham Radio,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,yes,1,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,133,SE,yes,446.975,441.975,,Jefferson,,W0DMR,,,yes,,On-Air,,,Denver Metro Area,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",http://www.w0dmr.org/,,,yes,0,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,133.3,SE,yes,449.625,444.625,141.3,Jefferson,,Rocky Mountain Ham Radio,E-power,CCARC,yes,141.3,On-Air,,,,,,,,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,133.6,SE,yes,448.125,443.125,107.2,Jefferson,,Denver PD EEB,,CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,133.6,SE,yes,927.7875,902.7875,156.7,Jefferson,,N0PYY,,,yes,,On-Air,,,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,133.6,SE,yes,448.975,443.975,123,Jefferson,,FRG,Linkable VHF/UHF Remote Base,CCARC,yes,,On-Air,,,Wide area.,,,,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,133.7,SE,yes,446.9625,441.9625,,Jefferson,,Colorado D-Star,,CCARC,yes,,On-Air,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,yes,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,133.7,ESE,yes,448.325,443.325,110.9,Larimer,,,,CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,133.7,SE,yes,1299.9,1299.9,,Jefferson,,Colorado D-Star,,,yes,,On-Air,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,yes,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,133.7,SE,yes,145.25,144.65,,Jefferson,,Colorado D-Star,,CCARC,yes,,On-Air,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,yes,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,133.7,SE,yes,1283.9625,1263.9625,,Jefferson,,Colorado D-Star,,CCARC,yes,,On-Air,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,yes,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,133.7,SE,yes,145.37,144.77,,Jefferson,,Rocky Mountain Ham Radio,,CCARC,yes,,On-Air,,,,,Rocky Mountain Ham Radio,See the website for programming information.,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,133.8,SE,yes,446.8375,441.8375,,Jefferson,,WA2YZT,200,CCARC,yes,,On-Air,,Full-time to the  Colorado TRBO System .,,,,See website for more info on CC/TS/TG programming.  www.rmham.org,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,133.9,SE,yes,146.895,146.295,100,Park,,AB0RR,25,CCARC,yes,100,On-Air,,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",285,Wed at 19:30.,Park County Radio Club (PCRC),,,,,,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,134.5,ESE,yes,448.025,443.025,100,Larimer,,Northern Colorado ARC,,CCARC,yes,100,On-Air,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,134.7,SE,yes,53.05,51.35,107.2,Jefferson,,Colorado Repeater Association (CRA),10,CCARC,yes,107.2,Off-Air,,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,135,SE,yes,446.7625,441.7625,,Park,,K7PFJ,,,yes,,On-Air,RMHAM,,,,,,,yes,0,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,135.1,SE,yes,147.12,147.72,88.5,Jefferson,,Aurora Repeater Association,E-power.,CCARC,yes,88.5,On-Air,,,Denver metro and east.,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,136.1,SE,yes,53.17,51.47,107.2,Jefferson,,N6LXX,,CCARC,yes,CSQ,On-Air,N6LXX,Full-time to the  N6LXX System .,"I-70,I-76,I-25,I-225",,,,,,,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,136.5,W7BYU,"Myton, Flat Top",UT,OPEN,,136.1,W,yes,145.49,144.89,136.5,Duchesne,,,E-power.,UVHFS,yes,,On-Air,Sinbad Desert ARC (SDARC),,"Duchesne, UT area.",,http://sdarc.us/repeaters/flat-top.html,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,136.1,SE,yes,447.875,442.875,107.2,Jefferson,,N6LXX,,CCARC,yes,107.2,On-Air,N6LXX,Full-time to the  N6LXX System .,"I-70,I-76,I-25,I-225",,,,,,,,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,136.2,SE,yes,449.825,444.825,103.5,Boulder,,Rocky Mountain Radio League,6,CCARC,yes,,On-Air,,,Along the foothills and into Boulder where the 94 repeater is shadowed.,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,136.2,SE,yes,448.925,443.925,131.8,Boulder,,W0LMA,,CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,136.7,ESE,yes,147.39,147.99,,Larimer,,KT0L - NoCo C-Bridge Network,,CCARC,yes,,On-Air,,,"Fort Collins east side, into Red Feather Lakes area.",Tac 310 Net: Sun at 18:00.,Documentation,,,yes,2,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  TAC 310  1  310      DCI Bridge  1  3100      N. Colorado  1  3171      Mountain Reg USA  1  3177      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,,2,1,,,,1,1,1,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,137.1,SE,yes,1287.9,1267.9,CSQ,Jefferson,,Colorado Repeater Association (CRA),,CCARC,yes,,Off-Air,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,137.1,SE,yes,447.15,442.15,107.2,Jefferson,,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,yes,107.2,Off-Air,,,Wide area: Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,137.1,SE,yes,224.98,223.38,107.2,Jefferson,,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,yes,107.2,Off-Air,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",Wide area. Denver.,,,,347086,,,,,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,137.2,SE,yes,53.09,51.39,107.2,Jefferson,,Denver Radio Club,E-power.,CCARC,yes,,On-Air,,,Metro Denver area.,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,137.7,ESE,yes,446.775,441.775,,Larimer,,W0DMR - NoCo C-bridge Network,,CCARC,yes,,On-Air,Brandmeister Network,,"Fort Collins east side, into Red Feather Lakes area.",,W0DMR,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,yes,2,,,,,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",BrandMeister US,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,2,,,,,,,,1,,2,,,,1,1,2,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,138.5,SE,yes,448.35,443.35,,Jefferson,,Denver Water Amateur Radio Club (DWARC),,CCARC,yes,,On-Air,,,Denver Metro and surrounding,,http://www.DWARC.com,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,138.5,SE,yes,147.21,147.81,100,Jefferson,,Denver Water Amateur Radio Club,,,yes,100,On-Air,,,,,http://www.dwarc.com,,,,,,,3241,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,138.7,ESE,yes,447.2,442.2,82.5,Weld,,N6RFI,,CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,139.1,SE,yes,447.825,442.825,D073,Jefferson,,Denver Radio Club,,CCARC,yes,D073,On-Air,,,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,139.5,SE,yes,147.33,147.93,100,Jefferson,,Denver Radio Club,E-power.,CCARC,yes,,On-Air,,,Metro Denver and the foothills.,SATERN: Thu at 19:30.,DRC Repeaters,Not recommeded to use tone squelch on this repeater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,139.5,SE,yes,224.38,222.78,100,Jefferson,,Denver Radio Club,,CCARC,yes,100,On-Air,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,139.5,SE,yes,449.775,444.775,100,Jefferson,,Denver Radio Club,,CCARC,yes,100,On-Air,,,Metro Denver,,Denver Radio Club,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,139.8,SE,yes,448.75,443.75,100,Jefferson,,,E-power.,CCARC,yes,100,On-Air,N0ELY,,Local.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,140,SSE,yes,147.12,147.72,,Gunnison,,W0VTL,E-power.,CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,140,SSE,yes,449.95,444.95,,Gunnison,Unknown,K5GF,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
