500,Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Notes,Coordination,Last update,Coverage,Features,Links,Commands,Affiliate,Web links,D-STAR Enabled,Node,Sources,Grid,AllStar,Mixed-Mode,Nets,EchoLink,IRLP,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,On-air,YSF Digital Enabled,DG-ID,P25 Digital Enabled,NAC,Default Reflector,Bandwidth,WIRES-X,Feed,DTMF,A + [number],B
,442.425,5,,NM5WR,Los Alamos,NM,OPEN,,130.7,NNE,yes,442.425,447.425,,,Los Alamos,On-Air,,,,yes,30,,,,,,yes,NM5WR (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.775,5,131.8,WD9CMS,Los Alamos,NM,OPEN,,130.7,NNE,yes,444.775,449.775,,,Los Alamos,On-Air,WD9CMS,"Mixed mode analog and digital P25 system, linked with 927.9 WD9CMS",NMFCC,yes,Los Alamos and surrounding areas,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,
,224.04,-1.6,100,KA5BIW,Los Alamos,NM,OPEN,,131.3,NNE,yes,224.04,222.44,100,100,Los Alamos,On-Air,KA5BIW,linked with 442.0 KA5BIW,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442,5,100,KA5BIW,Los Alamos,NM,OPEN,E,131.3,NNE,yes,442,447,100,,Los Alamos,On-Air,KA5BIW,,,yes,,Linked with 224.04 KA5BIW,,,,http://ka5biw.com/ham_radio/repeater.php,,,,,,,,87566,,,,,,,,,,,,,,,,,,,,,,,,,
,145.27,-0.6,141.3,K7EAR,"Alpine,  South Mountain",AZ,OPEN,,131.4,W,yes,145.27,144.67,141.3,,Apache,On-Air,EAARS - Eastern Arizona Amateur Radio Service,,ARCA,yes,,Linked to EAARS Network,,,,http://www.eaars.com/map/map.html,,,,DM53kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.43,-0.6,162.2,KD5SAR,Zuni,NM,OPEN,,131.4,WNW,yes,145.43,144.83,162.2,,McKinley,On-Air,MCARES,,NMFCC,yes,Wide are: Southern McKinley County.,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,448.725,-5,,N5IA,"Alpine,  South Mountain",AZ,CLOSED,,131.4,W,yes,448.725,443.725,,,Apache,On-Air,JPARA,,ARCA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.88,-0.6,CSQ,W5PDO,"Los Alamos, Barranca Mesa",NM,OPEN,,132,NNE,yes,146.88,146.28,CSQ,CSQ,Los Alamos,On-Air,Los Alamos ARC,Located on the Barranca Mesa water tower.,NMFCC,yes,,Autopatch,,"Autopatch: Up- *88, wait for dialtone, and dial phone nbr. Down- #.",,,,,,,,,LAARC: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.04,0.6,,N5IA,"Deming, Little Florida Mtn",NM,OPEN,,133.4,SSW,yes,147.04,147.64,,,Luna,On-Air,Mimbres Valley Repeater Grp,,NMFCC,yes,,E-power.,"Full-time to  
        147.02000 (NM5ML) at Deming, Little Florida Mtn, NM .
 


Full-time to  
        147.06000 (WD5EZC) at Hurley, Murray Tank, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449.85,-5,100,N5WSB,Deming,NM,OPEN,,133.4,SSW,yes,449.85,444.85,100,,Luna,,Luna Co ARC,,NMFCC,yes,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,147.12,0.6,88.5,NM2J,Deming,NM,OPEN,,133.4,SSW,yes,147.12,147.72,88.5,,Luna,On-Air,NM2J,,NMFCC,yes,,E-power (solar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.02,0.6,100,NM5ML,"Deming, Little Florida Mtn",NM,OPEN,,133.4,SSW,yes,147.02,147.62,100,,Luna,On-Air,Mimbres Valley Repeater Group,,NMFCC,yes,,Autopatch.,"Full-time to  
        147.04000 (N5IA) at Deming, Little Florida Mtn, NM .
 


Full-time to  
        147.06000 (WD5EZC) at Hurley, Murray Tank, NM .
 


Full-time to the  Mega-Link System .",,,,,,,DM62ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.08,0.6,,W5JX,Deming,NM,OPEN,,133.4,SSW,yes,147.08,147.68,,,Luna,,W5JX,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,449.475,-5,77,WA6RT,Deming,NM,OPEN,,133.4,SSW,yes,449.475,444.475,77,,Luna,,DARC,,NMFCC,yes,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,444.375,5,100,WA5IHL,"Las Vegas, Mesa Apache",NM,CLOSED,,134,NE,yes,444.375,449.375,100,,San Miguel,On-Air,JPARA,,NMFCC,yes,Wide area.,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.825,5,131.8,KB5ZQE,"Santa Fe, Tesuque Peak",NM,OPEN,,134.9,NNE,yes,442.825,447.825,131.8,,Santa Fe,On-Air,Santa Fe ARC,,NMFCC,yes,,Autopatch.,"Full-time to  
        146.82000 (W5SF) at Santa Fe,  Tesuque Peak, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.02,0.6,141.3,NM5EM,"Santa Fe, Tesuque Peak",NM,OPEN,,134.9,NNE,yes,147.02,147.62,141.3,,Santa Fe,On-Air,NMEMA ARC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.82,-0.6,162.2,W5SF,"Santa Fe,  Tesuque Peak",NM,OPEN,,134.9,NNE,yes,146.82,146.22,162.2,,Santa Fe,On-Air,Santa Fe ARC,,NMFCC,yes,Wide area.,"Autopatch, e-power.","Full-time to  
        442.82500 (KB5ZQE) at Santa Fe, Tesuque Peak, NM .",,,SFARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.17,-0.6,100,N5IA,"Lordsburg, Jacks Peak",NM,OPEN,,135,SW,yes,145.17,144.57,100,,Hidalgo,On-Air,WB5QHS,,NMFCC,yes,NM Statewide,Permanently Linked  NM5ML,Full-time to the  Mega-Link System .,,New Mexico Mega-Link NM5ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.17,-0.6,100,N5IA,"Lordsburg, Jacks Peak",NM,OPEN,,135.1,SW,yes,145.17,144.57,100,,Grant,On-Air,New Mexico Mega Link Assoc .,7,NMFCC,yes,Wide area.,E-power.,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,440.825,5,CC1,N5IA,"Lordsburg, Jack's Peak",NM,OPEN,,135.1,SW,yes,440.825,445.825,,,Hidalgo,On-Air,,Time Slot #1 - Group Call 1 = World Wide Time Slot #1 - Group Call 13 = WW English Time Slot #1 - Group Call 3 = N. America Time Slot #2 = Group Call 2 = AZ/NM Local Time Slot #2 = Group Call 3100 = DCI Bridge Time Slot #2 = Group Call 3176 = Regiona,NMFCC,yes,Southwestern NM/ South Eastern Arizona,,,,,AZ-TRBONET,,,,,,,,,,yes,1,yes,AZ-TrboNet,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,1,2,2,2,2,,,,,,,,,,,,
,147.24,0.6,67,NM5ML,"Cuba, Eureka Mesa",NM,OPEN,,135.1,N,yes,147.24,147.84,67,,Sandoval,On-Air,,,NMFCC,yes,Wide area.,9,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.06,0.6,141.3,K7EAR,"Deming, Little Florida Mtn",NM,OPEN,,135.4,SSW,yes,147.06,147.66,141.3,,Luna,On-Air,,,NMFCC,yes,,,Full-time to the  EAARS-Link System .,,,http://www.eaars.com/map/map.html,,,,DM62ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449.85,-5,127.3,W5CF,Little Florida,NM,OPEN,,135.4,SSW,yes,449.85,444.85,127.3,,Luna,On-Air,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.82,-0.6,88.5,W5DAR,"Deming, Little Florida Mtn",NM,OPEN,,135.4,SSW,yes,146.82,146.22,88.5,,Luna,On-Air,Deming ARC,,NMFCC,yes,Wide area. 60 mi radius.,E-power.,,,,,,,,,,,DARC: Thu at 1930.,,,,,,,,,,,,,,,,,,,,,,,,,,
,449.475,-5,77,W5DAR,Little Florida,NM,OPEN,,135.4,SSW,yes,449.475,444.475,77,,Luna,On-Air,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,448.725,-5,100,WB5QHS,Little Florida,NM,PRIVATE,,135.4,SSW,yes,448.725,443.725,100,,Luna,On-Air,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.175,-0.6,141.3,NM5EM,"Cuba, Eureka Mesa",NM,OPEN,,135.7,N,yes,145.175,144.575,141.3,,Sandoval,Off-Air,NMEMA ARC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.04,0.6,141.3,NM5EM,"Santa Rosa, Moon Ranch",NM,OPEN,,139.7,E,yes,147.04,147.64,141.3,,Guadalupe,On-Air,NMEMA ARC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.26,0.6,67,NM5ML,"Pecos, Elk Mountain",NM,OPEN,,140.3,NNE,yes,147.26,147.86,67,,San Miguel,On-Air,,,NMFCC,yes,Wide area.,11,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.3,0.6,162.2,W5SF,"Las Vegas,  Elk Mountain",NM,OPEN,,140.3,NNE,yes,147.3,147.9,162.2,,San Miguel,On-Air,Santa Fe ARC,,NMFCC,yes,Wide area.,"E-power, linked.",,,,SFARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.45,-0.6,,KB5WEZ,Las Vegas,NM,OPEN,,142.2,NE,yes,145.45,144.85,,,San Miguel,Off-Air,KB5WEZ,,NMFCC,yes,Wide area.,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.64,-0.6,100,N5MMI,"ROSWELL, NMMI",NM,OPEN,,143.2,SE,yes,146.64,146.04,100,,Chaves,On-Air,New Mexico Military Institute,,NMFCC,yes,Covers Roswell and Chavez County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.95,5,67,N5ZRF,Anthony,TX,OPEN,,143.2,S,yes,442.95,447.95,67,,El Paso,,,,TVHFS,yes,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,444,5,100,N5IMJ,"Roswell, Comanche Hill",NM,OPEN,,143.7,SE,yes,444,449,100,,Chaves,On-Air,N5IMJ,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.26,0.6,100,NM5ML,Roswell,NM,OPEN,,143.7,SE,yes,147.26,147.86,100,,Chaves,On-Air,New Mexico Mega Link Assoc,3,NMFCC,yes,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.94,-0.6,,W5BLO,Roswell,NM,OPEN,,143.7,SE,yes,146.94,146.34,,,Chaves,Off-Air,W5BLO,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449.75,-5,100,KC5WDV,Gallup,NM,OPEN,E,146.1,NW,yes,449.75,444.75,100,,McKinley,On-Air,KC5WDV,,NMFCC,yes,,,,,,,,,,,,,,6810,,,,,,,,,,,,,,,,,,,,,,,,,
,147.26,0.6,100,KC5WDV,"Gallup, Gibson Peak",NM,OPEN,,147.5,NW,yes,147.26,147.86,100,,McKinley,On-Air,KC5WDV,,NMFCC,yes,,VHF/UHF Remote Bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.88,-0.6,,K5ELP,El Paso,TX,OPEN,,150.7,S,yes,146.88,146.28,,,El Paso,On-Air,West Texas Repeater Association,,TVHFS,yes,,,,,,http://www.hamradioelpaso.com/home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,443.85,5,,WA5JXY,"El Paso, Franklin Mountains",TX,OPEN,EA,150.7,S,yes,443.85,448.85,,,El Paso,Off-Air,,,TVHFS,yes,,3,Full-time to the  TRASH System .,,,,,,,DM61sw,27081,,,375562,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,
,52.94,-0.5,100,W5GNB,"Roswell, Comanche Hill",NM,OPEN,,151.3,SE,yes,52.94,52.44,100,,Chaves,,W5GNB,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,444.95,5,179.9,W5GNB,"Roswell, Comanche Hill",NM,OPEN,,151.3,SE,yes,444.95,449.95,179.9,,Chaves,On-Air,W5GNB,,NMFCC,yes,Chavez and Eddy county,52.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.38,0.6,123,K5CNM,Hope,NM,OPEN,,151.4,SE,yes,147.38,147.98,123,,Eddy,On-Air,KE5JDA,,NMFCC,yes,"Hope, NM and NW Eddy County.",,"Full-time to  
        147.30000 (K5CNM) at Queen, Queen fire station, NM .
 


Full-time to  
        147.36000 (K5CNM) at Loving, NM .
 


Linkable to  
        147.28000 (K5CNM) at Carlsbad, NM .
 


Full-time to  
        442.45000 (K5CNM) at Artesia, NM .",,Eddy County Skywarn,,,,,,,,"Eddy County Skywarn, as required.",,,,,,,,,,,,,,,,,,,,,,,,,,
,444.425,5,179.9,W5GNB,"Roswell, Comanche Hill",NM,OPEN,,151.5,SE,yes,444.425,449.425,179.9,179.9,Chaves,On-Air,W5GNB,,,yes,Chaves County,"Telemetry and Data, Open Repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.04,0.6,141.3,NM5EM,"Abiquiu, Cerro Pelon",NM,OPEN,,151.9,NNE,yes,147.04,147.64,141.3,,Rio Arriba,Off-Air,NMEMA ARC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.32,0.6,146.2,W5GNB,Roswell,NM,OPEN,,151.9,SE,yes,147.32,147.92,146.2,146.2,Chaves,On-Air,W5GNB,,NMFCC,yes,"Roswell, Artesia, Ruidoso",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.55,5,162.2,W5GNB,"Roswell, Comanche Hill",NM,OPEN,E,151.9,SE,yes,444.55,449.55,162.2,162.2,Chaves,On-Air,W5GNB,,NMFCC,yes,"Roswell, Artesia, Ruidoso",,,Enter NODE # for Echolink... ## to disconnect,,,,,,,,,,383142,,,,,,,,,,,,,,,,,,,,,,,,,
,147.28,0.6,67,KD6CUB,El Paso,TX,OPEN,,152,S,yes,147.28,147.88,67,,El Paso,On-Air,,,TVHFS,yes,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.7,-0.6,141.3,K7EAR,"Eagar, Greens Peak",AZ,OPEN,,153.5,W,yes,146.7,146.1,141.3,,Apache,On-Air,,,ARCA,yes,,Linked to EAARS Network,,,,EAARS Repeaters,,,,DM54fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,448.85,-5,CC1,N7OEI,"Eager,  Greens Peak",AZ,OPEN,,153.5,W,yes,448.85,443.85,,,Apache,On-Air,,,,yes,Wide Area,,,,BRANDMEISTER,,,,,DM54fc,,,,,,yes,1,yes,,,,,,,,,,,,,,,,,,,,,
,146.62,-0.6,162.2,N7QVU,"Eagar, Greens Peak",AZ,OPEN,,153.5,W,yes,146.62,146.02,162.2,,Apache,On-Air,N7QVU,,ARCA,yes,East AZ &amp; West NM  85 mi radius.,E-Power,,,,N7QVU,,,,DM54fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449.35,-5,100,N7QVU,"Eagar, Greens Peak",AZ,OPEN,,153.5,W,yes,449.35,444.35,100,,Apache,On-Air,,,ARCA,yes,,E-power,,,,N7QVU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.72,-0.6,162.2,W7ARA,"Eagar, Greens Peak",AZ,OPEN,,153.5,W,yes,146.72,146.12,162.2,,Apache,On-Air,Arizona Rptr Assoc,,ARCA,yes,,,Full-time to the  Arizona Rptr Assoc (Rimlink) System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,448.375,-5,100,W7ARA,"Eagar, Greens Peak",AZ,OPEN,,153.5,W,yes,448.375,443.375,100,,Apache,On-Air,Arizona Repeater Assoc,,ARCA,yes,,,Full-time to the  Arizona Rptr Assoc (Rimlink) System .,,,Arizona Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.31,-0.6,110.9,W7EH,"Eagar,  Greens Peak",AZ,OPEN,,153.5,W,yes,145.31,144.71,110.9,,Apache,On-Air,,,ARCA,yes,,,,,,http://kachinaarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,927.1625,-25,151.4,W7ARA,"Eagar, Greens Peak",AZ,OPEN,,153.7,W,yes,927.1625,902.1625,151.4,,Apache,On-Air,,,ARCA,yes,,,Full-time to the  Northlink System .,,Arizona Repeater Assoc,Arizona Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,
,147.14,0.6,100,KB5ZFA,Fort Sumner,NM,OPEN,,153.8,E,yes,147.14,147.74,100,,Debaca,On-Air,,,NMFCC,yes,Wide area.,4,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,440.65,5,,KG5ZPX,El Paso,TX,OPEN,,153.8,S,yes,440.65,445.65,,,El Paso,On-Air,,,,yes,I-10 west side of El Paso TX to Las Cruces NM 25 mi radius.,ircDDB,,,West Texas Digital Radio Club,,yes,KG5ZPX (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,El Paso D-Star Mondays at 7:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.49,-0.6,100,NM5SJ,Lybrook,NM,OPEN,,155,NNW,yes,145.49,144.89,100,,Rio Arriba,On-Air,Totah ARC,,NMFCC,yes,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.96,-0.6,141.3,WR7GC,"Payson, Mt Ord",AZ,OPEN,,155.6,W,yes,146.96,146.36,141.3,,Gila,On-Air,Gila Co RACES,,ARCA,yes,,E-power.,"Full-time to  
        449.65000 (WR7GC) at Globe, Signal Peak, AZ .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.33,-0.6,67,K5WPH,El Paso,TX,OPEN,I,156.2,S,yes,145.33,144.73,67,,El Paso,On-Air,,,TVHFS,yes,,Linked.,,,,,,,,,,,,,3097,,,,,,,,,,,,,,,,,,,,,,,,
,147.24,0.6,162.2,K5WPH,El Paso,TX,OPEN,,156.2,S,yes,147.24,147.84,162.2,,El Paso,On-Air,Sun City Amateur Radio Club (SCARC),,TVHFS,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,443.4,5,100,K5WPH,El Paso,TX,OPEN,,156.2,S,yes,443.4,448.4,100,,El Paso,On-Air,The Sun City Amateur Radio Club (SCARC),,TVHFS,yes,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.41,-0.6,88.5,WX5ELP,El Paso,TX,OPEN,,156.2,S,yes,145.41,144.81,88.5,,El Paso,On-Air,El Paso Skywarn,,TVHFS,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449.625,-5,CC1 114.8,NX7R,"Concho, Volcano Hill",AZ,OPEN,,156.3,W,yes,449.625,444.625,114.8,D754,Apache,On-Air,AF7JQ,BrandMeister,ARCA,yes,"Wide Area: Concho, to St Johns, Show Low and Beyond.",MMDVM,,,BrandMeister,http://www.ttgcommunications.com,,,,,,,Hytera US DMR Net on TG-31089: Thu at 19:30.,,,yes,1,yes,,,,,,,,,,,,,,,,,,,,,
,147.2,0.6,67,K5ELP,El Paso,TX,OPEN,,156.7,S,yes,147.2,147.8,67,,El Paso,On-Air,West Texas Repeater Association,,TVHFS,yes,,Autopatch.,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,224.82,-1.6,100,KD6CUB,El Paso,TX,OPEN,,156.7,S,yes,224.82,223.22,100,,El Paso,On-Air,,,TVHFS,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.21,-0.6,141.3,K7EAR,"Lordsburg, Jacks Peak",NM,OPEN,EI,157.5,SW,yes,145.21,144.61,141.3,,Hidalgo,On-Air,Eastern Arizona Amateur Radio Association,,,yes,"Southern Arizona, Southern New Mexico, El Paso TX",,Full-time to the  EAARS-Link System .,,,http://www.eaars.com/map/map.html,,,,,,,"Skywarn, Saguaro NTS Traffic, EAARS, Ladies",614350,7787,,,,,,,,,,,,,,,,,,,,,,,,
,449,-5,100,N5IA,"Lordsburg, Jacks Peak",NM,PRIVATE,,157.5,SW,yes,449,444,100,,Hidalgo,On-Air,WB5QHS,,,yes,"CA, AZ, NM.TX. OR. DC",,,,Cactus Intertie,http://www.jpara.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.145,-0.6,141.3,NM5EM,"Lordsburg, Jacks Peak",NM,OPEN,,157.5,SW,yes,145.145,144.545,141.3,,Hidalgo,On-Air,NM5EM,,,yes,SW New Mexico,,,,New Mexico Dept. Of Homeland Security ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.25,-0.6,88.5,WB5QHS,"Lordsburg, Jacks Peak",NM,OPEN,EI,158,SW,yes,145.25,144.65,88.5,,Hidalgo,On-Air,Jacks Pk ARA,,NMFCC,yes,,,,IRLP commands are standard.,,,,,,,,,,313977,3093,,,,,,,,,,,,,,,,,,,,,,,,
,147.06,0.6,,WD5EZC,"Hurley, Murray Tank",NM,OPEN,,158.2,SSW,yes,147.06,147.66,,,Grant,,Mimbres Valley Rptr Grp,,NMFCC,yes,,Autopatch.,"Full-time to  
        147.02000 (NM5ML) at Deming, Little Florida Mtn, NM .
 


Full-time to  
        147.04000 (N5IA) at Deming, Little Florida Mtn, NM .",,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,147.18,0.6,100,KD5PX,"Dixon, Cerro Abajo",NM,OPEN,,158.4,NNE,yes,147.18,147.78,100,100,Rio Arriba,On-Air,,,NMFCC,yes,Dixon Embudo Ojo Sarco St Rd 68 Rio Grande Canyon,,,,,,,,,DM76BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.7,-0.6,114.8,K5ELP,El Paso,TX,OPEN,A,158.5,S,yes,146.7,146.1,114.8,,El Paso,On-Air,West Texas Repeater Association,,TVHFS,yes,,"Autopatch, linked.",,,,,,,,,27834,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.2,5,100,K5ELP,El Paso,TX,OPEN,,158.5,S,yes,444.2,449.2,100,,El Paso,On-Air,West Texas Repeater Association,,TVHFS,yes,,"Autopatch, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.62,-0.6,,W5ELP,"El Paso, Comanche Peak",TX,OPEN,,158.5,S,yes,146.62,146.02,,,El Paso,On-Air,West Texas Digital Radio Club,,TVHFS,yes,20,,,,,,yes,W5ELP (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.325,5,103.5,W5HFN,"El Paso, Montana Vista",TX,OPEN,,159.5,SSE,yes,444.325,449.325,103.5,,El Paso,On-Air,K5ELP,,TVHFS,yes,,Linked.,Full-time to the  Amigo  System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.94,-0.6,123,N6TOC,El Paso,TX,OPEN,W,159.7,S,yes,146.94,146.34,123,123,El Paso,On-Air,BDRC,Located 10 miles East of the Franklin mountains.,,yes,20,,,,The Bilingual Digital Radio Club (BDRC) W5WIN,http://w5win.webs.com,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,21294,,,,
,444.6,5,,N6TOC,El Paso,TX,OPEN,,159.7,S,yes,444.6,449.6,,,El Paso,On-Air,n6toc,This repeater is open to all Ham radio operators. Located 1.5 miles east of the Frankling Mountains.,,yes,30,Linked continuously to DCS D0006X Bilingual/ESP,,,Bilingual Digital Radio Club (BDRC),http://w5win.webs.com/,yes,N6TOC (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,443.125,5,,W5WIN,El Paso,TX,OPEN,,159.7,S,yes,443.125,448.125,,,El Paso,On-Air,W5WIN,Dstar open repeater for the use of all hams. Located 10 miles east on the Franklin Mountains.,,yes,20,Continuously Linked to DCS D0006X reflector Bilingual/ESP,,,Bilingual Digital Radio Club (BDRC),https://w5win.webs.com/,yes,W5WIN (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.4,5,D023,W5WIN,El Paso,TX,OPEN,W,159.7,S,yes,444.4,449.4,D023,D023,El Paso,On-Air,W5WIN,,TVHFS,yes,,,,,Bilingual Digital Radio Club,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,11298,,,,
,145.43,-0.6,88.5,W5DAR,Columbus,NM,OPEN,,160.1,SSW,yes,145.43,144.83,88.5,,Luna,,DARC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,443.6,5,CC,AE5JR,El Paso,TX,OPEN,,160.4,S,yes,443.6,448.6,,,El Paso,,,,,yes,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,Unknown,,,,,,,,,,,
,442.825,5,100,K5ELP,El Paso,TX,OPEN,,160.6,S,yes,442.825,447.825,100,,El Paso,,West Texas Repeater Association,,TVHFS,yes,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,147.32,0.6,162.2,K5KKO,El Paso,TX,OPEN,,160.6,S,yes,147.32,147.92,162.2,,El Paso,On-Air,El Paso Digital Intertie Group,,TVHFS,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.25,5,100,K5WPH,El Paso,TX,OPEN,,160.6,S,yes,442.25,447.25,100,,El Paso,On-Air,The Sun City Amateur Radio Club (SCARC),,TVHFS,yes,,"E-power (solar), linked.",Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
