Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Coordination,Last update,Op Status,Features,Downlink Tone,Coverage,Links,EchoLink,Notes,IRLP,AllStar,Web links,Nets,Affiliate,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Commands,D-STAR Enabled,Node,Sources,Grid,Location Photo,Feed,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,Worldwide,North America,Local/Cluster,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Europe,Southwest USA,Mountain Reg USA,Wyoming,WyLOCAL
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,104.5,E,,447.5,442.5,88.5,Jefferson,,Aurora Repeater Association,CCARC,,On-Air,E-power.,88.5,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,104.7,ESE,,448.45,443.45,100,El Paso,,Pikes Pk FM Assoc,CCARC,,On-Air,E-power.,,Wide area.,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,104.7,ESE,,146.97,146.37,100,El Paso,,Pikes Peak FM Assoc,CCARC,,On-Air,"Closed autopatch, e-power.",123,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.","Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,,PPFMA Repeaters,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,106.3,NE,,145.28,144.68,100,Jefferson,,,CCARC,,On-Air,"Closed autopatch, e-power, linked.",,Wide area.,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,"PL is usually off, allowing use by older transceivers.",,,Intermountain Repeater Group,Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,106.3,NE,,146.64,146.04,100,Jefferson,,Denver Radio League,CCARC,,On-Air,E-power.,,"Wide area. 
   Repeater Coverage Map",,,8,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,106.3,NE,,146.985,146.385,100,Denver,,El Jebel RADOPS,CCARC,,On-Air,E-power.,100,,,,,3346,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,106.3,NE,,449.525,444.525,CSQ,Jefferson,,KE0SJ,CCARC,,On-Air,E-power.,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,106.4,NE,,448.625,443.625,100,Jefferson,,Denver Radio Club,CCARC,,On-Air,E-power.,100,Denver metro area.,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,,,,DRC Repeaters,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,106.5,NE,,446.7875,441.7875,,Jefferson,,Denver Radio Club,CCARC,,On-Air,,,,,,,,,http://www.w0tx.org/,,Brandmeister Network,,1,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,106.5,NE,,927.8375,902.025,,Jefferson,,,CCARC,,On-Air,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,The offset is -25.8125,,45770,,,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,107,E,,449.975,444.975,100,Douglas,,K0JSC,CCARC,,On-Air,Simulcast and Voted with Cedarwood and Methodist.,100,,Full-time to the  The Fun Machine System .,,"Can be linked to Allstar, Echolink and others by a Sysop",,,The Fun Machine,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,107,E,,147.225,147.825,107.2,Douglas,,Colorado Repeater Association (CRA),CCARC,,On-Air,Closed autopatch,107.2,Wide area,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",347086,,3990,,Colorado Repeater Association,"CRA Net, Sunday 9AM",CRA VHF Link System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,107,E,,448.425,443.425,107.2,Douglas,,Colorado Repeater Association (CRA),,,On-Air,,107.2,Wide area,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,,,,http://www.w0cra.org,,ARESDEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,107.4,NE,,224.6,223,100,Gilpin,Unknown,W0RM,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,107.6,ESE,,446.95,441.95,,Teller,,Rocky Mountain Ham Radio,,,On-Air,,,Monument Hill through Pueblo.,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,,RMHAM,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,107.6,ESE,,927.725,902.725,D114,Teller,,WA6IFI,CCARC,,On-Air,12,D114,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.","Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",,,,,Yahoo Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,107.6,ESE,,147.18,147.78,100,El Paso,,AA0SP,CCARC,,On-Air,E-power (solar).,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,108.6,NE,,224.74,223.14,88.5,Jefferson,,Aurora Repeater Assoc,CCARC,,On-Air,e-power,88.5,,,,,,,ARA Repeaters,ARA: Wed at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,108.6,NE,,448.85,443.85,88.5,Jefferson,,Aurora Repeater Assoc,CCARC,,On-Air,e-power.,88.5,"Denver metro, central front range",,,,,,ARA Repeaters,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,108.6,NE,,224,222.4,103.5,Jefferson,,Rocky Mountain Radio League,CCARC,,On-Air,8,103.5,,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,108.6,NE,,145.22,144.62,103.5,Jefferson,,Rocky Mtn Radio League,CCARC,,On-Air,8,103.5,Wide area.,,,Talk-Group of $FFFF.,,,Repeater,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,293,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,108.6,NE,,147.15,147.75,100,Jefferson,,Aurora Repeater Assoc (ARA),CCARC,,On-Air,e-power,100,"Denver metro, central front range","Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,,,,ARA Repeaters,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,108.6,NE,,449.75,444.75,103.5,Jefferson,,Rocky Mtn Radio League,CCARC,,On-Air,8,103.5,,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,108.8,E,,146.88,146.28,100,Jefferson,,Denver Radio League,CCARC,,On-Air,E-power.,,Wide area: Denver.  Map,,,6,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,108.8,E,,449.6,444.6,100,Jefferson,,Denver Radio League,CCARC,,On-Air,,,,,690473,,3345,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,109.1,NE,,449.225,444.225,141.3,Gilpin,,Rocky Mountain Ham Radio (RMHR),CCARC,,On-Air,Emergency Power,141.3,Wide area.,,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,109.1,NE,,145.31,144.71,88.5,Gilpin,,Colorado Connection,CCARC,,On-Air,10,123,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Full-time to the  Colorado Connection System .,,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,109.7,E,,53.17,51.47,107.2,Jefferson,,N6LXX,CCARC,,On-Air,,CSQ,"I-70,I-76,I-25,I-225",Full-time to the  N6LXX System .,,,,29883,,,N6LXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,109.7,E,,447.875,442.875,107.2,Jefferson,,N6LXX,CCARC,,On-Air,,107.2,"I-70,I-76,I-25,I-225",Full-time to the  N6LXX System .,,,,29913,,,N6LXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,110.9,E,,449.625,444.625,141.3,Jefferson,,Rocky Mountain Ham Radio,CCARC,,On-Air,E-power,141.3,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,111.1,E,,1299.9,1299.9,,Jefferson,,Colorado D-Star,,,On-Air,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,111.1,E,,1283.9625,1263.9625,,Jefferson,,Colorado D-Star,CCARC,,On-Air,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,111.1,E,,446.9625,441.9625,,Jefferson,,Colorado D-Star,CCARC,,On-Air,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,111.1,E,,446.8375,441.8375,,Jefferson,,WA2YZT,CCARC,,On-Air,200,,,Full-time to the  Colorado TRBO System .,,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,111.1,E,,145.37,144.77,,Jefferson,,Rocky Mountain Ham Radio,CCARC,,On-Air,,,,,,See the website for programming information.,,,Rocky Mountain Ham Radio,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,111.1,E,,145.25,144.65,,Jefferson,,Colorado D-Star,CCARC,,On-Air,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,111.4,SSW,,146.7,146.1,100,La Plata,,Durango ARC,CCARC,,On-Air,9,100,Local.,,,,,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,111.9,N,,147.165,147.765,88.5,Routt,,Colorado Connection,,,On-Air,,123,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,111.9,N,,449.625,444.625,123,Routt,,"Colorado Connection Repeaters, Inc.",,,On-Air,Statewide Linked System,123,Local Steamboat Area,,,,,,http://colcon.org,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,107.2,KD0H,Steamboat Springs,CO,OPEN,,111.9,N,,147.21,147.81,107.2,Routt,,SSARC,CCARC,,On-Air,"Linked, WX.",107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,112.2,ESE,,145.19,144.59,131.8,Douglas,,N0OBA Owner,,,On-Air,,131.8,Wide area coverage at 8300' Pueblo to Ft. Collins+,,10079,,,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,112.5,E,,53.09,51.39,107.2,Jefferson,,Denver Radio Club,CCARC,,On-Air,E-power.,,Metro Denver area.,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,112.5,E,,448.975,443.975,123,Jefferson,,FRG,CCARC,,On-Air,Linkable VHF/UHF Remote Base,,Wide area.,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,112.5,SSW,,445.1375,440.1375,,La Plata,,K2AD,CCARC,,On-Air,,,,,,,,,http://www.rmham.org/,,Rocky Mountain Ham Radio,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,112.5,E,,927.7875,902.7875,156.7,Jefferson,,N0PYY,,,On-Air,,,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,112.5,E,,448.125,443.125,107.2,Jefferson,,Denver PD EEB,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,113.1,SE,,449.625,444.625,107.2,Custer,,,CCARC,,On-Air,E-power.,,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,113.1,ESE,,448.8,443.8,100,El Paso,,Pikes Peak FM Assoc,CCARC,,Off-Air,,100,,,,,,,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,113.1,ESE,,145.265,144.665,100,El Paso,,Pikes Peak FM Association,CCARC,,Off-Air,"Closed autopatch, e-power.",100,Local. Good coverage of I25 in Colorado Springs.,,,Repeater has been moved.,,,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,113.1,SE,,224.32,222.72,88.5,Custer,,Pueblo Ham Club,CCARC,,Off-Air,11,,,,,,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,113.1,SE,,447.175,442.175,88.5,Pueblo,,Pueblo HC,CCARC,,Off-Air,11,,Wide area: Southeast Colorado.,,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,113.2,SSW,,147.345,147.945,88.5,La Plata,,Colorado Connection,CCARC,,On-Air,,123,Durango and north towards Molas Divide.,Full-time to the  Colorado Connection System .,,,,,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,113.5,E,,224.38,222.78,100,Jefferson,,Denver Radio Club,CCARC,,On-Air,,100,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,113.5,E,,449.775,444.775,100,Jefferson,,Denver Radio Club,CCARC,,On-Air,,100,Metro Denver,,,,,,Denver Radio Club,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,113.5,E,,147.33,147.93,100,Jefferson,,Denver Radio Club,CCARC,,On-Air,E-power.,,Metro Denver and the foothills.,,,Not recommeded to use tone squelch on this repeater.,,,DRC Repeaters,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,113.8,ESE,,146.76,146.16,107.2,El Paso,,Cheyenne Mountain Repeater Group,CCARC,,On-Air,"Closed autopatch, e-power.",107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,113.8,ESE,,448,443,107.2,El Paso,,,CCARC,,On-Air,,,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,113.8,ESE,,448.1,443.1,107.2,El Paso,,,CCARC,,On-Air,"Closed autopatch, e-power.",107.2,Wide area.,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,113.9,NE,,446.975,441.975,,Jefferson,,W0DMR,,,On-Air,,,Denver Metro Area,,,,,,http://www.w0dmr.org/,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,,0,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,113.9,ESE,,147.345,147.945,107.2,El Paso,,,CCARC,,On-Air,"Closed autopatch, e-power.",107.2,Wide area.,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,,3854,,http://www.cmrg.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,113.9,ESE,,145.16,144.56,107.2,El Paso,,Colorado Repeater Association,CCARC,,On-Air,"Closed autopatch, e-power.",107.2,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.","Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",347086,Switch to this repeater at mile marker 170 on I-25.,3990,,http://www.w0cra.org/info/cosprgs.html#145160,,CRA VHF Link System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,114.7,ESE,,447.725,442.725,100,El Paso,,K0NR,CCARC,,On-Air,30,100,Local.,,,,,,http://www.k0nr.com/wordpress/k0nr-repeater/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,114.8,ESE,,446.9125,441.9125,,El Paso,,Cheyenne Mountain Repeater Group (CMRG),,,On-Air,,,,,,,,,,,,,,,,,,,,,,,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,114.8,ESE,,145.375,144.77,,El Paso,,Cheyenne Mountain Repeater Group (CMRG),CCARC,,On-Air,,,wide area,,,,,,http://www.cmrg.org,,,,,,,,,,,,,,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,114.8,ESE,,445.0625,440.0625,,El Paso,,Rocky Mountain Ham Radio,CCARC,,Off-Air,The DMR-MARC Worldwide Network,,,,,,,,,,,,1,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,114.8,ESE,,145.13,144.53,88.5,El Paso,,Colorado Connection,CCARC,,On-Air,9,123,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Full-time to the  Colorado Connection System .,,Linked into the Colorado Connection System,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,114.8,ESE,,53.13,51.43,107.2,El Paso,,Cheyenne Mountain Repeater Group (CMRG),CCARC,,On-Air,,107.2,,,,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
