Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Coordination,Last update,Features,YSF Digital Enabled,DG-ID,Coverage,Affiliate,On-air,Web links,Downlink Tone,Links,Nets,Commands,Mixed-Mode,Notes,DMR Enabled,Color Code,Wide Network,Talkgroups,Worldwide,North America,Local/Cluster,Talkgroup Network,Colorado,Southern Colorado,Denver Regional,Northern Colorado,IRLP,Local Network,Feed,D-STAR Enabled,Node,Sources,Grid,EchoLink,AllStar,Location Photo,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Worldwide English,DCI Bridge,N. Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,58.1,SSE,yes,449.975,444.975,100,Pueblo,On-Air,K0JSC,CCARC,yes,2,,,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",,,K0JSC dot Com,100,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.","APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,,,,,,,,,,,,,7301,,Listen Live,,,,DM78SA18,363976,28368,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,59.6,SW,yes,448.325,443.325,100,Custer,On-Air,,,yes,,,,,The Fun Machine,,,100,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,69.6,WSW,yes,449.975,444.975,100,Chaffee,On-Air,,CCARC,yes,2,,,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,,,K0JSC.COM,100,Full-time to the  The Fun Machine System .,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,,,,,,,,,,,,,7301,,,,,,DM68xk,363976,28368,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,33.7,SSE,yes,224.26,222.66,88.5,Pueblo,Off-Air,Pueblo Ham Club,CCARC,yes,E-power.,,,Wide area.,,,PHC repeaters,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,33.7,SSE,yes,447.95,442.95,88.5,Pueblo,On-Air,Pueblo Ham Club,CCARC,yes,E-power.,,,Wide area.,,,Pueblo Ham Club,,,,,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,33.7,SSE,yes,146.79,146.19,88.5,Pueblo,On-Air,Pueblo HC,CCARC,yes,E-power.,,,Wide area.,,,Pueblo Ham Club,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,41.7,SSE,yes,145.115,144.515,88.5,Pueblo,Off-Air,Pueblo Ham Club,CCARC,yes,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,41.7,SSE,yes,146.88,146.28,88.5,Pueblo,On-Air,Pueblo HC,CCARC,yes,E-power.,,,Wide area.,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,58.2,SSW,yes,447.175,442.175,88.5,Pueblo,Off-Air,Pueblo HC,CCARC,yes,11,,,Wide area: Southeast Colorado.,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,58.2,SSW,yes,224.32,222.72,88.5,Custer,Off-Air,Pueblo Ham Club,CCARC,yes,11,,,,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,59.6,SW,yes,919.1,894.1,88.5,Pueblo,Off-Air,Pueblo HC,CCARC,yes,,,,Wide area.,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,ND0Q,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,76,SSE,yes,146.73,146.13,88.5,Huerfano,On-Air,Pueblo Ham Club,CCARC,yes,6,,,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,33.7,NNW,yes,446.925,441.925,,Douglas,On-Air,,CCARC,yes,,,,,,,Rocky Mountain Ham Radio,,Full-time to the  Colorado TRBO System .,,,,See the website for programming info.,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,33.7,NNW,yes,447.525,442.525,146.2,Douglas,On-Air,EmComm Colorado,CCARC,yes,,,,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",Colorado ARES,,,146.2,,,,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,45.6,N,yes,447.525,442.525,203.5,Douglas,On-Air,EmComm Colorado,CCARC,yes,,,,"Denver metropolitan area, front range foothills",Colorado ARES,,,146.2,,,,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,36.3,SW,yes,927.7,902.7,D114,Fremont,On-Air,Royal Gorge ARC,CCARC,yes,,,,,,,,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,59.5,SW,yes,927.775,902.775,D116,Custer,On-Air,Royal Gorge Amateur Radio Club,CCARC,yes,,,,,,,,D116,,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,59.5,SW,yes,147.06,147.66,77,Custer,On-Air,http://www.qsl.net/rghc,CCARC,yes,E-power,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,59.5,SW,yes,448.15,443.15,103.5,Custer,On-Air,Royal George ARC,CCARC,yes,E-power.,,,,,,http://www.qsl.net/rghc,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,36.4,SW,yes,223.96,222.36,103.5,Fremont,On-Air,RGARC,CCARC,yes,"E-power (Bat), Remote Base",,,"Wide area. 
   Repeater Coverage Map",,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,36.4,SW,yes,447.75,442.75,103.5,Fremont,On-Air,RGARC,CCARC,yes,E-power (Bat),,,,,,Royal Gorge Amateur Radio Club,103.5,,,,,,,,,,,,,,,,,,3081,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,36.4,SW,yes,145.49,144.89,103.5,Fremont,On-Air,Royal Gorge Amateur Radio Club,CCARC,yes,E-power (Bat),,,,Colorado ARES Region 5 District 1,,Royal Gorge Amateur Radio Club,103.5,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,,,,,,,,,,,,,,,,,,,,,DM78ik,,,yes,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,38,SSE,yes,147,147.6,,Pueblo,On-Air,Carl Higbee,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,39.5,NNE,yes,446.85,441.85,,Douglas,On-Air,Parker Radio Association,CCARC,yes,D-Star B module,,,,,,http://parkerradio.org,,,,,,,,,,,,,,,,,,,,,,yes,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,43,N,yes,445.075,440.075,,Douglas,On-Air,Parker Radio Association,CCARC,yes,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,,,,,http://www.parkerradio.org,,,Mondays 20:30 MST,,,Mixed Mode,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,41.7,SSE,yes,449.725,444.725,100,El Paso,On-Air,N0PWZ,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,41.7,SSE,yes,447.7,442.7,210.7,Pueblo,Off-Air,,CCARC,yes,,,,,,,,210.7,,,,Yes; analog capable.,,yes,0,,,,,,,,,,,7389,,,,,,,,29228,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,41.7,SSE,yes,146.655,146.055,123,Pueblo,On-Air,K0ST,CCARC,yes,,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,43.2,SSE,yes,147.24,147.84,103.5,Pueblo,Off-Air,TARA,CCARC,yes,,,,Pueblo and Fremont Counties,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,44.3,N,yes,449.95,444.95,77,Douglas,On-Air,W9SL Owner,CCARC,yes,,,,Primarily to the North along I-25 corridor,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,47.7,NE,yes,147.105,147.705,107.2,Elbert,On-Air,ARES of Douglas and Elbert Counties,CCARC,yes,Linked to CRA 447.150 - Conifer,,,"I-70, E. Arapahoe, Elbert, Lincoln Counties",Colorado Repeater Association,,http://www.w0cra.org/,107.2,"Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,48.4,NNW,yes,447.5,442.5,88.5,Jefferson,On-Air,Aurora Repeater Association,CCARC,yes,E-power.,,,Wide area.,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,49.1,NNW,yes,146.88,146.28,100,Jefferson,On-Air,Denver Radio League,CCARC,yes,E-power.,,,Wide Area,,,DRL Repeaters,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,49.1,NNW,yes,449.6,444.6,100,Jefferson,On-Air,Denver Radio League,CCARC,yes,,,,,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,3345,,,,,,,690473,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,69.7,NNW,yes,146.64,146.04,100,Jefferson,On-Air,Denver Radio League,CCARC,yes,E-power.,,,"Wide area. 
   Repeater Coverage Map",,,DRL Repeaters,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,50.1,N,yes,448.7,443.7,146.2,Douglas,On-Air,,,yes,,,,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,50.6,NNE,yes,927.8375,902.025,,Douglas,On-Air,,CCARC,yes,,,,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,,,,,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,,,,,,,,,,,,,,yes,294,yes,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,70.7,NNW,yes,927.8375,902.025,,Jefferson,On-Air,,CCARC,yes,,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,,,,,,,The offset is -25.8125,,,,,,,,,,,,,,,,,,,,,45770,,yes,293,yes,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,52.7,NW,yes,146.895,146.295,100,Park,On-Air,AB0RR,CCARC,yes,25,,,285,,,Park County Radio Club (PCRC),100,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,45835,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,53.6,N,yes,145.4,144.6,100,Arapahoe,On-Air,Castle Rock Repeater Group,CCARC,yes,"Autopatch, e-power.",,,Greater Denver area.,,,,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,61.9,N,yes,448.5,443.5,100,Denver,On-Air,Castle Rock Repeater Group,CCARC,yes,E-power.,,,Greater Denver area.,,,,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,68.6,NNW,yes,146.67,146.07,100,Clear Creek,On-Air,Castle Rock Repeater Group,CCARC,yes,11,,,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,,,100,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,54.5,N,yes,449.425,444.425,D023,Arapahoe,Off-Air,K0PWO,,yes,,,,,,,,D023,,,,,Colorado SNP (Shared non-protected pair),,,,,,,,,,,,,,,,,,,,,29791,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,55,N,yes,145.19,144.59,151.4,Arapahoe,On-Air,N0OBA,,yes,Autopatch (please contact trustee).,,,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",,,,131.8,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,,,,,,,,,,,,,,,,,,,10079,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,55,NNW,yes,147.12,147.72,88.5,Jefferson,On-Air,Aurora Repeater Association,CCARC,yes,E-power.,,,Denver metro and east.,,,http://www.n0ara.org,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,59.6,N,yes,449.15,444.15,,Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,63.1,N,yes,449.65,444.65,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,63.1,N,yes,449.675,444.675,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,7708,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,67.9,NNW,yes,449,444,136.5,Clear Creek,On-Air,CARN,CCARC,yes,,,,,,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,110,N,yes,449.325,444.325,,Weld,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,59.9,W,yes,448.575,443.575,103.5,Park,Off-Air,,CCARC,yes,,,,Western Park County,,,,103.5,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,69.7,WSW,yes,449.925,444.925,103.5,Chaffee,On-Air,,CCARC,yes,E-power (Bat),,,"Upper Arkansas and Platte Rivers, and the SLV",Colorado ARES,,,103.5,,,,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,60.4,ESE,yes,449.9,444.9,107.2,Lincoln,On-Air,,CCARC,yes,,,,,BSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,61.1,NNW,yes,449.775,444.775,100,Jefferson,On-Air,Denver Radio Club,CCARC,yes,,yes,Open ↑ / Open ↓,Metro Denver,,,Denver Radio Club,100,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,61.1,NNW,yes,147.33,147.93,100,Jefferson,On-Air,Denver Radio Club,CCARC,yes,E-power.,,,Metro Denver and the foothills.,,,DRC Repeaters,,,SATERN: Thu at 19:30.,,,Not recommeded to use tone squelch on this repeater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,61.1,NNW,yes,224.38,222.78,100,Jefferson,On-Air,Denver Radio Club,CCARC,yes,,,,,,,DRC Repeaters,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,62.9,NNW,yes,53.09,51.39,107.2,Jefferson,On-Air,Denver Radio Club,CCARC,yes,E-power.,,,Metro Denver area.,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,63.2,NNW,yes,447.825,442.825,D073,Jefferson,On-Air,Denver Radio Club,CCARC,yes,,,,,,,,D073,,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,68.6,NNW,yes,145.49,144.89,100,Jefferson,On-Air,"KB0VIU,  Denver Radio Club",CCARC,yes,E-power.,,,,,,DRC Repeaters,100,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,68.6,NNW,yes,449.35,444.35,100,Clear Creek,On-Air,Denver Radio Club,CCARC,yes,11,,,Wide area.,,,DRC Repeaters,100,,,,,,,,,,,,,,,,,,,,,,,,,4140,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,69.7,NNW,yes,448.625,443.625,100,Jefferson,On-Air,Denver Radio Club,CCARC,yes,E-power.,,,Denver metro area.,,,DRC Repeaters,100,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,70.7,NNW,yes,446.7875,441.7875,,Jefferson,On-Air,Denver Radio Club,CCARC,yes,,,,,Brandmeister Network,,http://www.w0tx.org/,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,61.3,NNW,yes,145.34,144.74,103.5,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,yes,E-power.,,,Wide area.,,,Repeater,127.3,,,,,,,,,,,,,,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,61.8,NNW,yes,447.875,442.875,107.2,Jefferson,On-Air,N6LXX,CCARC,yes,,,,"I-70,I-76,I-25,I-225",N6LXX,,,107.2,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,29913,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,61.8,NNW,yes,53.17,51.47,107.2,Jefferson,On-Air,N6LXX,CCARC,yes,,,,"I-70,I-76,I-25,I-225",N6LXX,,,CSQ,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,29883,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,61.9,N,yes,448.4,443.4,94.8,Arapahoe,On-Air,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,94.8,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,122.8,NNW,yes,449.425,444.425,94.8,Larimer,On-Air,,,yes,,,,,,,,,"Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25,D114,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,122.8,NNW,yes,927.875,902.875,D114,Larimer,Off-Air,WA6IMI,CCARC,yes,,,,,,,,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,Down due to lightning strike. Scheduled to return end of June 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,61.9,N,yes,448.825,443.825,,Arapahoe,On-Air,,,yes,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30584,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,61.9,N,yes,448.275,443.275,156.7,Arapahoe,On-Air,W0BG,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,62.3,NNW,yes,448.75,443.75,100,Jefferson,On-Air,,CCARC,yes,E-power.,,,Local.,N0ELY,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
